iter	RMSE
0	1.630831993
1	1.603255132
2	1.576463595
3	1.551050123
4	1.526466975
5	1.502818926
6	1.480444244
7	1.458706695
8	1.438132582
9	1.418113111
10	1.39888524
11	1.380520488
12	1.363007863
13	1.346291404
14	1.330241962
15	1.314615217
16	1.299895471
17	1.285480194
18	1.27169451
19	1.259159287
20	1.24669246
21	1.235086076
22	1.224095984
23	1.213477111
24	1.203332341
25	1.193759542
26	1.184681132
27	1.175667093
28	1.167156336
29	1.159129724
30	1.151529546
31	1.141723795
32	1.134455686
33	1.126741778
34	1.120021779
35	1.112761444
36	1.104366661
37	1.096055343
38	1.088360283
39	1.081408144
40	1.074980599
41	1.068580152
42	1.062823909
43	1.057197005
44	1.051978967
45	1.046718254
46	1.041482658
47	1.036329927
48	1.030755286
49	1.025954863
50	1.02123912
51	1.016412785
52	1.012021179
53	1.007842271
54	1.002363581
55	0.9974560406
56	0.9933727495
57	0.9889935013
58	0.983751934
59	0.9798098124
60	0.9760823482
61	0.9720800463
62	0.9675972562
63	0.9639902146
64	0.959462742
65	0.9550094394
66	0.9516093614
67	0.9484276255
68	0.9438670767
69	0.9401081158
70	0.9360100011
71	0.9317083256
72	0.9285380059
73	0.9255697685
74	0.9225083035
75	0.918843015
76	0.9157048965
77	0.9120776242
78	0.9090550759
79	0.9059392379
80	0.9029852766
81	0.9003209933
82	0.8971372313
83	0.8943969404
84	0.8917549715
85	0.8889808106
86	0.8864256116
87	0.8840238909
88	0.881431913
89	0.8783074717
90	0.8753168243
91	0.8725520027
92	0.870167245
93	0.8665863876
94	0.8641621791
95	0.8619848471
96	0.8595471494
97	0.85711883
98	0.8550300483
99	0.8528556636
100	0.8510267316
101	0.8489033077
102	0.8470094011
103	0.8446943631
104	0.8421165876
105	0.8400176399
106	0.8382929085
107	0.835498341
108	0.8334147726
109	0.8314754758
110	0.8298133536
111	0.8269041595
112	0.8250409058
113	0.8227267369
114	0.8206791504
115	0.8189450837
116	0.8172783171
117	0.8156936972
118	0.8133748229
119	0.8116392285
120	0.8101844527
121	0.8083578405
122	0.8068821671
123	0.8051593188
124	0.8037661224
125	0.8022167626
126	0.8005358348
127	0.7980219291
128	0.7955527077
129	0.7938505364
130	0.7922842977
131	0.7900794581
132	0.7883070183
133	0.7857659211
134	0.784178609
135	0.7824131586
136	0.7809519728
137	0.7796110419
138	0.778177655
139	0.7765952957
140	0.7752441512
141	0.7739483121
142	0.7725505088
143	0.7712948567
144	0.7696504408
145	0.7683336599
146	0.7671907635
147	0.7660593834
148	0.7648375812
149	0.7635240084
150	0.761800767
151	0.7600840101
152	0.7588810541
153	0.7576314198
154	0.7562164864
155	0.7548050066
156	0.7536770076
157	0.7517129706
158	0.7499337812
159	0.7485209513
160	0.7474225141
161	0.7464888399
162	0.7453249381
163	0.7435396087
164	0.7422800942
165	0.7411435782
166	0.7397672208
167	0.7388600156
168	0.7373055985
169	0.7363392926
170	0.7352757005
171	0.7341536144
172	0.7332405226
173	0.7318167821
174	0.7308458422
175	0.7295588935
176	0.7284707035
177	0.7275305897
178	0.7265842302
179	0.7256125227
180	0.7245999926
181	0.7232051435
182	0.7223941373
183	0.7212975766
184	0.719587948
185	0.7185687822
186	0.716953875
187	0.7160417788
188	0.7150870048
189	0.7132739686
190	0.711872777
191	0.711061052
192	0.7098058128
193	0.7089284076
194	0.7078856356
195	0.7065157782
196	0.7057355797
197	0.7049674401
198	0.7043039956
199	0.7035565999
200	0.7025594252
201	0.700939184
202	0.6996705124
203	0.6988666071
204	0.6981806835
205	0.6972515966
206	0.6965329424
207	0.6957074234
208	0.6945891108
209	0.6937085646
210	0.6930146815
211	0.6921253685
212	0.6913687343
213	0.6905064457
214	0.689764657
215	0.6890555812
216	0.6884245135
217	0.6872764197
218	0.686608021
219	0.6856523975
220	0.6848346877
221	0.6840385767
222	0.6833367735
223	0.6825432629
224	0.6819101933
225	0.68055381
226	0.6799462111
227	0.6793498045
228	0.6785640846
229	0.6780234375
230	0.6774137219
231	0.676741668
232	0.6761236322
233	0.674789047
234	0.6741806763
235	0.6734951949
236	0.672698005
237	0.6717385326
238	0.6708632527
239	0.670088637
240	0.6694295161
241	0.6681608356
242	0.6676391883
243	0.6671335699
244	0.6665825961
245	0.6654561445
246	0.6646761472
247	0.663972203
248	0.6630788376
249	0.6622995361
250	0.6616720457
251	0.6611676615
252	0.6603799159
253	0.6596378427
254	0.6590532495
255	0.6584330657
256	0.657818138
257	0.6573249995
258	0.6561758377
259	0.6550959404
260	0.6546050056
261	0.6540141159
262	0.6532337475
263	0.6527812669
264	0.6521219151
265	0.6515642218
266	0.6509195031
267	0.6503410778
268	0.6497697623
269	0.6490782233
270	0.6484934332
271	0.6477844974
272	0.6471013092
273	0.6465175295
274	0.6458582707
275	0.6454288168
276	0.644958444
277	0.6444604747
278	0.6439657152
279	0.6434962244
280	0.6427465571
281	0.6422040582
282	0.6417672123
283	0.6409198619
284	0.640374394
285	0.6396967892
286	0.6392481501
287	0.6387310476
