iter	Passed	Remaining
0	214	320912
1	400	299888
2	561	280411
3	729	272897
4	908	271520
5	1092	272100
6	1257	268110
7	1428	266405
8	1593	263978
9	1765	263075
10	1949	263943
11	2151	266786
12	2352	269126
13	2531	268672
14	2712	268523
15	2886	267707
16	3056	266652
17	3248	267493
18	3430	267372
19	3595	266059
20	3771	265594
21	3960	266056
22	4138	265744
23	4319	265675
24	4493	265117
25	4659	264131
26	4830	263525
27	5007	263253
28	5181	262814
29	5351	262199
30	5517	261456
31	5704	261691
32	5884	261589
33	6061	261360
34	6234	260946
35	6423	261202
36	6570	259812
37	6727	258836
38	6883	257862
39	7048	257262
40	7236	257510
41	7424	257721
42	7583	256948
43	7749	256445
44	7906	255658
45	8055	254611
46	8213	253913
47	8386	253682
48	8564	253618
49	8738	253419
50	8920	253452
51	9099	253386
52	9284	253483
53	9454	253183
54	9637	253199
55	9816	253129
56	10007	253357
57	10194	253465
58	10363	253122
59	10523	252574
60	10704	252509
61	10900	252823
62	11095	253073
63	11276	253024
64	11447	252726
65	11606	252168
66	11783	252026
67	11979	252279
68	12166	252317
69	12358	252458
70	12542	252432
71	12738	252642
72	12954	253236
73	13166	253713
74	13349	253632
75	13525	253417
76	13713	253435
77	13879	253033
78	14079	253247
79	14258	253083
80	14436	252903
81	14602	252525
82	14764	252071
83	14920	251521
84	15075	250956
85	15241	250601
86	15402	250158
87	15563	249730
88	15714	249142
89	15875	248715
90	16036	248304
91	16202	247973
92	16359	247500
93	16521	247123
94	16671	246560
95	16829	246131
96	16994	245813
97	17158	245467
98	17325	245177
99	17498	244975
100	17660	244623
101	17841	244536
102	18011	244288
103	18183	244084
104	18346	243751
105	18513	243465
106	18680	243199
107	18842	242863
108	19005	242540
109	19178	242352
110	19336	241962
111	19516	241865
112	19677	241523
113	19840	241213
114	19990	240756
115	20139	240286
116	20289	239836
117	20449	239497
118	20611	239199
119	20792	239117
120	20953	238795
121	21121	238564
122	21292	238376
123	21459	238128
124	21619	237812
125	21774	237444
126	21938	237178
127	22097	236857
128	22268	236668
129	22430	236386
130	22590	236084
131	22756	235842
132	22942	235811
133	23113	235624
134	23277	235360
135	23436	235053
136	23596	234758
137	23756	234469
138	23922	234235
139	24082	233940
140	24257	233797
141	24428	233623
142	24604	233486
143	24776	233314
144	24943	233093
145	25110	232873
146	25273	232621
147	25436	232368
148	25599	232110
149	25761	231855
150	25918	231546
151	26074	231235
152	26233	230957
153	26402	230765
154	26568	230544
155	26725	230249
156	26880	229939
157	27040	229671
158	27211	229499
159	27375	229267
160	27535	229003
161	27700	228782
162	27869	228598
163	28044	228458
164	28213	228276
165	28373	228011
166	28530	227729
167	28697	227532
168	28861	227305
169	29027	227098
170	29190	226867
171	29349	226607
172	29511	226372
173	29674	226138
174	29842	225948
175	30001	225689
176	30159	225429
177	30312	225132
178	30466	224841
179	30620	224550
180	30785	224341
181	30945	224100
182	31103	223840
183	31261	223585
184	31438	223465
185	31609	223303
186	31768	223062
187	31974	223143
188	32134	222897
189	32287	222617
190	32439	222320
191	32597	222072
192	32763	221874
193	32922	221630
194	33088	221441
195	33250	221214
196	33414	221011
197	33574	220778
198	33733	220539
199	33896	220328
200	34061	220125
201	34229	219953
202	34383	219681
203	34538	219418
204	34699	219199
205	34869	219033
206	35046	218913
207	35217	218756
208	35391	218614
209	35548	218367
210	35700	218092
211	35858	217856
212	36017	217625
213	36183	217440
214	36354	217281
215	36512	217046
216	36671	216819
217	36836	216625
218	37000	216428
219	37165	216233
220	37316	215962
221	37475	215737
222	37633	215505
223	37801	215332
224	37974	215186
225	38139	214997
226	38295	214758
227	38454	214536
228	38610	214295
229	38774	214100
230	38933	213883
231	39090	213650
232	39245	213410
233	39393	213128
234	39556	212933
235	39730	212793
236	39900	212636
237	40060	212420
238	40221	212215
239	40375	211973
240	40535	211759
241	40695	211550
242	40850	211312
243	41001	211055
244	41163	210855
245	41327	210668
246	41497	210512
247	41661	210323
248	41818	210100
249	41976	209883
250	42136	209675
251	42297	209474
252	42459	209278
253	42621	209079
254	42787	208904
255	42961	208766
256	43131	208611
257	43297	208430
258	43459	208238
259	43618	208026
260	43777	207819
261	43941	207632
262	44108	207459
263	44275	207287
264	44431	207068
265	44602	206916
266	44774	206768
267	44933	206560
268	45093	206356
269	45251	206144
270	45405	205918
271	45563	205704
272	45728	205526
273	45896	205361
274	46059	205175
275	46221	204981
276	46378	204767
277	46545	204600
278	46709	204418
279	46877	204250
280	47055	204130
281	47220	203953
282	47392	203804
283	47557	203626
284	47715	203419
285	47876	203223
286	48043	203057
287	48206	202870
288	48371	202693
289	48535	202511
290	48700	202333
291	48856	202120
292	49017	201924
293	49186	201765
294	49353	201597
295	49513	201401
296	49666	201173
297	49824	200971
298	49995	200819
299	50166	200664
300	50330	200487
301	50495	200311
302	50652	200100
303	50813	199912
304	50973	199716
305	51144	199563
306	51321	199435
307	51499	199310
308	51681	199197
309	51869	199112
310	52056	199019
311	52225	198858
312	52409	198754
313	52609	198711
314	52799	198627
315	52987	198536
316	53163	198398
317	53344	198279
318	53540	198217
319	53712	198063
320	53876	197881
321	54035	197683
322	54198	197498
323	54369	197341
324	54531	197152
325	54688	196944
326	54847	196745
327	55001	196529
328	55163	196342
329	55329	196169
330	55519	196079
331	55704	195973
332	55895	195886
333	56101	195849
334	56273	195695
335	56433	195502
336	56596	195315
337	56760	195135
338	56923	194951
339	57093	194789
340	57257	194608
341	57416	194411
342	57579	194224
343	57742	194042
344	57906	193860
345	58066	193667
346	58223	193461
347	58375	193243
348	58541	193070
349	58711	192910
350	58875	192729
351	59044	192564
352	59202	192364
353	59376	192219
354	59547	192061
355	59713	191889
356	59885	191733
357	60045	191540
358	60216	191384
359	60394	191250
360	60572	191112
361	60756	190995
362	60930	190849
363	61120	190749
364	61310	190649
365	61494	190531
366	61669	190385
367	61853	190266
368	62047	190178
369	62224	190038
370	62389	189859
371	62545	189652
372	62697	189437
373	62869	189281
374	63034	189102
375	63196	188917
376	63359	188735
377	63515	188529
378	63690	188382
379	63849	188187
380	64012	188004
381	64169	187806
382	64333	187626
383	64524	187523
384	64724	187448
385	64904	187314
386	65066	187129
387	65228	186944
388	65395	186771
389	65559	186592
390	65727	186423
391	65893	186249
392	66055	186064
393	66213	185869
394	66378	185692
395	66540	185505
396	66700	185317
397	66853	185107
398	67019	184933
399	67181	184748
400	67350	184584
401	67523	184430
402	67680	184232
403	67834	184025
404	68003	183861
405	68153	183646
406	68317	183466
407	68472	183265
408	68630	183070
409	68787	182874
410	68948	182687
411	69111	182508
412	69273	182324
413	69423	182110
414	69578	181910
415	69741	181731
416	69904	181550
417	70061	181356
418	70216	181156
419	70376	180967
420	70533	180774
421	70698	180598
422	70860	180417
423	71024	180242
424	71186	180058
425	71348	179878
426	71513	179705
427	71679	179532
428	71844	179359
429	72003	179171
430	72159	178974
431	72322	178798
432	72481	178610
433	72641	178423
434	72799	178233
435	72949	178024
436	73102	177822
437	73260	177631
438	73425	177458
439	73602	177314
440	73759	177124
441	73914	176927
442	74076	176747
443	74239	176570
444	74396	176379
445	74561	176206
446	74723	176027
447	74891	175861
448	75051	175676
449	75215	175502
450	75373	175314
451	75532	175128
452	75697	174957
453	75858	174775
454	76025	174607
455	76181	174415
456	76349	174250
457	76516	174084
458	76684	173918
459	76855	173761
460	77017	173580
461	77172	173388
462	77325	173188
463	77478	172990
464	77648	172830
465	77810	172652
466	77965	172459
467	78126	172279
468	78284	172093
469	78452	171928
470	78608	171738
471	78757	171532
472	78910	171333
473	79074	171160
